Date,Event,Type
14/11/2016,Water Festival Ceremony (Day 2),Holidays in Cambodia
15/11/2016,Water Festival Ceremony (Day 3),Holidays in Cambodia
10/12/2016,International Human Rights Day,Holidays in Cambodia
01/01/2017,New Year,Holidays in Cambodia
07/01/2017,Victory over Genocide Day,Holidays in Cambodia
08/03/2017,International Women Day,Holidays in Cambodia
13/04/2017,Khmer New Year Day (Day 1),Holidays in Cambodia
01/05/2017,Labour Day,Holidays in Cambodia
14/05/2017,Mother's Day,Holidays in Cambodia
14/05/2017,King's Birthday (Day 1),Holidays in Cambodia
15/05/2017,King's Birthday (Day 2),Holidays in Cambodia
16/05/2017,King's Birthday (Day 3),Holidays in Cambodia
01/06/2017,International Children Day,Holidays in Cambodia
18/06/2017,Father's Day,Holidays in Cambodia
18/06/2017,King's Mother's Birthday,Holidays in Cambodia
24/09/2017,Constitutional Day,Holidays in Cambodia
15/10/2017,Commemoration Day of King's Father,Holidays in Cambodia
23/10/2017,Paris Peace Agreement's Day,Holidays in Cambodia
29/10/2017,King's Coronation Day,Holidays in Cambodia
04/11/2017,Water Festival Ceremony (Day 1),Holidays in Cambodia
05/11/2017,Water Festival Ceremony (Day 2),Holidays in Cambodia
06/11/2017,Water Festival Ceremony (Day 3),Holidays in Cambodia
09/11/2017,Independence Day,Holidays in Cambodia
10/12/2017,International Human Rights Day,Holidays in Cambodia
01/01/2018,New Year,Holidays in Cambodia
07/01/2018,Victory over Genocide Day,Holidays in Cambodia
08/03/2018,International Women Day,Holidays in Cambodia
01/05/2018,Labour Day,Holidays in Cambodia
13/05/2018,Mother's Day,Holidays in Cambodia
01/06/2018,International Children Day,Holidays in Cambodia
17/06/2018,Father's Day,Holidays in Cambodia
18/06/2018,King's Mother's Birthday,Holidays in Cambodia
24/09/2018,Constitutional Day,Holidays in Cambodia
15/10/2018,Commemoration Day of King's Father,Holidays in Cambodia
23/10/2018,Paris Peace Agreement's Day,Holidays in Cambodia
29/10/2018,King's Coronation Day,Holidays in Cambodia
09/11/2018,Independence Day,Holidays in Cambodia
10/12/2018,International Human Rights Day,Holidays in Cambodia
01/01/2016,New Year,Holidays in Comoros
18/03/2016,Birthday of Al-koutb Said Mouhammad Cheikh Al Maarouf,Holidays in Comoros
01/05/2016,Labour Day,Holidays in Comoros
05/05/2016,Isra and Mi'raj,Holidays in Comoros
05/07/2016,Eid al-Fitr,Holidays in Comoros
08/07/2016,Eid al-Fitr,Holidays in Comoros
09/07/2016,Eid al-Fitr,Holidays in Comoros
13/09/2016,Eid al-Adha,Holidays in Comoros
14/09/2016,Eid al-Adha,Holidays in Comoros
12/12/2016,The Prophet's Birthday,Holidays in Comoros
01/01/2017,New Year,Holidays in Comoros
18/03/2017,Birthday of Al-koutb Said Mouhammad Cheikh Al Maarouf,Holidays in Comoros
24/04/2017,Isra and Mi'raj,Holidays in Comoros
01/05/2017,Labour Day,Holidays in Comoros
26/06/2017,Eid al-Fitr,Holidays in Comoros
27/06/2017,Eid al-Fitr,Holidays in Comoros
28/06/2017,Eid al-Fitr,Holidays in Comoros
02/09/2017,Eid al-Adha,Holidays in Comoros
03/09/2017,Eid al-Adha,Holidays in Comoros
01/12/2017,The Prophet's Birthday,Holidays in Comoros
01/01/2018,New Year,Holidays in Comoros
18/03/2018,Birthday of Al-koutb Said Mouhammad Cheikh Al Maarouf,Holidays in Comoros
13/04/2018,Isra and Mi'raj,Holidays in Comoros
01/05/2018,Labour Day,Holidays in Comoros
15/06/2018,Eid al-Fitr,Holidays in Comoros
16/06/2018,Eid al-Fitr,Holidays in Comoros
17/06/2018,Eid al-Fitr,Holidays in Comoros
22/08/2018,Eid al-Adha,Holidays in Comoros
23/08/2018,Eid al-Adha,Holidays in Comoros
21/11/2018,The Prophet's Birthday,Holidays in Comoros
01/01/2016,New Year,Holidays in Democratic People's Republic of Korea
09/02/2016,Lunar New Year's Day,Holidays in Democratic People's Republic of Korea
16/02/2016,Birth date of Kim Jong Il,Holidays in Democratic People's Republic of Korea
22/02/2016,Cheongwoldaeboreum,Holidays in Democratic People's Republic of Korea
15/04/2016,Birth Date of Kim Il Sung,Holidays in Democratic People's Republic of Korea
25/04/2016,Chosun People's Army Foundation Day,Holidays in Democratic People's Republic of Korea
01/05/2016,May Day,Holidays in Democratic People's Republic of Korea
06/06/2016,Chosun Children's Union Foundation Day,Holidays in Democratic People's Republic of Korea
19/06/2016,Great Leader Kim Jong Il Day,Holidays in Democratic People's Republic of Korea
27/07/2016,Day of Victory in the Fatherland Liberation War,Holidays in Democratic People's Republic of Korea
25/08/2016,Day of Songun,Holidays in Democratic People's Republic of Korea
09/09/2016,National Day,Holidays in Democratic People's Republic of Korea
10/10/2016,Party Foundation Day,Holidays in Democratic People's Republic of Korea
12/11/2016,Mother's Day,Holidays in Democratic People's Republic of Korea
24/12/2016,Birth Date of Kim Jong Suk,Holidays in Democratic People's Republic of Korea
27/12/2016,Constitution Day,Holidays in Democratic People's Republic of Korea
01/01/2017,New Year,Holidays in Democratic People's Republic of Korea
28/01/2017,Lunar New Year's Day,Holidays in Democratic People's Republic of Korea
11/02/2017,Cheongwoldaeboreum,Holidays in Democratic People's Republic of Korea
16/02/2017,Birth date of Kim Jong Il,Holidays in Democratic People's Republic of Korea
15/04/2017,Birth Date of Kim Il Sung,Holidays in Democratic People's Republic of Korea
25/04/2017,Chosun People's Army Foundation Day,Holidays in Democratic People's Republic of Korea
01/05/2017,May Day,Holidays in Democratic People's Republic of Korea
06/06/2017,Chosun Children's Union Foundation Day,Holidays in Democratic People's Republic of Korea
19/06/2017,Great Leader Kim Jong Il Day,Holidays in Democratic People's Republic of Korea
27/07/2017,Day of Victory in the Fatherland Liberation War,Holidays in Democratic People's Republic of Korea
25/08/2017,Day of Songun,Holidays in Democratic People's Republic of Korea
09/09/2017,National Day,Holidays in Democratic People's Republic of Korea
10/10/2017,Party Foundation Day,Holidays in Democratic People's Republic of Korea
11/11/2017,Mother's Day,Holidays in Democratic People's Republic of Korea
24/12/2017,Birth Date of Kim Jong Suk,Holidays in Democratic People's Republic of Korea
27/12/2017,Constitution Day,Holidays in Democratic People's Republic of Korea
01/01/2018,New Year,Holidays in Democratic People's Republic of Korea
16/02/2018,Birth date of Kim Jong Il,Holidays in Democratic People's Republic of Korea
15/04/2018,Birth Date of Kim Il Sung,Holidays in Democratic People's Republic of Korea
25/04/2018,Chosun People's Army Foundation Day,Holidays in Democratic People's Republic of Korea
01/05/2018,May Day,Holidays in Democratic People's Republic of Korea
06/06/2018,Chosun Children's Union Foundation Day,Holidays in Democratic People's Republic of Korea
19/06/2018,Great Leader Kim Jong Il Day,Holidays in Democratic People's Republic of Korea
27/07/2018,Day of Victory in the Fatherland Liberation War,Holidays in Democratic People's Republic of Korea
25/08/2018,Day of Songun,Holidays in Democratic People's Republic of Korea
09/09/2018,National Day,Holidays in Democratic People's Republic of Korea
10/10/2018,Party Foundation Day,Holidays in Democratic People's Republic of Korea
10/11/2018,Mother's Day,Holidays in Democratic People's Republic of Korea
24/12/2018,Birth Date of Kim Jong Suk,Holidays in Democratic People's Republic of Korea
27/12/2018,Constitution Day,Holidays in Democratic People's Republic of Korea
01/01/2016,New Year's Day,Holidays in Kuwait
25/02/2016,National Day,Holidays in Kuwait
26/02/2016,Liberation Day,Holidays in Kuwait
05/05/2016,Isra and Miraj,Holidays in Kuwait
05/07/2016,Eid-al-Fitr holiday,Holidays in Kuwait
06/07/2016,Eid-al-Fitr (End of Ramadan),Holidays in Kuwait
07/07/2016,Eid-al-Fitr holiday,Holidays in Kuwait
08/07/2016,Eid-al-Fitr holiday,Holidays in Kuwait
09/07/2016,Eid-al-Fitr holiday,Holidays in Kuwait
12/09/2016,Waqfat Arafat Day,Holidays in Kuwait
13/09/2016,Eid-al-Adha (Feast of Sacrifice),Holidays in Kuwait
14/09/2016,Eid-al-Adha holiday,Holidays in Kuwait
15/09/2016,Eid-al-Adha holiday,Holidays in Kuwait
03/10/2016,Islamic New Year,Holidays in Kuwait
12/12/2016,The Prophet's Birthday,Holidays in Kuwait
31/12/2016,New Year's Eve,Holidays in Kuwait
01/01/2017,New Year's Day,Holidays in Kuwait
25/02/2017,National Day,Holidays in Kuwait
26/02/2017,Liberation Day,Holidays in Kuwait
24/04/2017,Isra and Miraj,Holidays in Kuwait
26/06/2017,Eid-al-Fitr (End of Ramadan),Holidays in Kuwait
27/06/2017,Eid-al-Fitr holiday,Holidays in Kuwait
28/06/2017,Eid-al-Fitr holiday,Holidays in Kuwait
01/09/2017,Waqfat Arafat Day,Holidays in Kuwait
02/09/2017,Eid-al-Adha (Feast of Sacrifice),Holidays in Kuwait
03/09/2017,Eid-al-Adha holiday,Holidays in Kuwait
04/09/2017,Eid-al-Adha holiday,Holidays in Kuwait
22/09/2017,Islamic New Year,Holidays in Kuwait
01/12/2017,The Prophet's Birthday,Holidays in Kuwait
31/12/2017,New Year's Eve,Holidays in Kuwait
01/01/2018,New Year's Day,Holidays in Kuwait
25/02/2018,National Day,Holidays in Kuwait
26/02/2018,Liberation Day,Holidays in Kuwait
13/04/2018,Isra and Miraj,Holidays in Kuwait
15/06/2018,Eid-al-Fitr (End of Ramadan),Holidays in Kuwait
16/06/2018,Eid-al-Fitr holiday,Holidays in Kuwait
17/06/2018,Eid-al-Fitr holiday,Holidays in Kuwait
21/08/2018,Waqfat Arafat Day,Holidays in Kuwait
22/08/2018,Eid-al-Adha (Feast of Sacrifice),Holidays in Kuwait
23/08/2018,Eid-al-Adha holiday,Holidays in Kuwait
24/08/2018,Eid-al-Adha holiday,Holidays in Kuwait
12/09/2018,Islamic New Year,Holidays in Kuwait
21/11/2018,The Prophet's Birthday,Holidays in Kuwait
01/01/2016,New Year's Day,Holidays in Cayman Islands
25/01/2016,National Heroes Day,Holidays in Cayman Islands
10/02/2016,Ash Wednesday,Holidays in Cayman Islands
14/02/2016,Valentine's Day,Holidays in Cayman Islands
25/03/2016,Good Friday,Holidays in Cayman Islands
27/03/2016,Easter Sunday,Holidays in Cayman Islands
28/03/2016,Easter Monday,Holidays in Cayman Islands
08/05/2016,Mothers' Day,Holidays in Cayman Islands
16/05/2016,Discovery Day,Holidays in Cayman Islands
13/06/2016,Queen's Birthday,Holidays in Cayman Islands
19/06/2016,Fathers' Day,Holidays in Cayman Islands
04/07/2016,Constitution Day,Holidays in Cayman Islands
31/10/2016,Halloween,Holidays in Cayman Islands
14/11/2016,Remembrance Day,Holidays in Cayman Islands
24/12/2016,Christmas Eve,Holidays in Cayman Islands
25/12/2016,Christmas Day,Holidays in Cayman Islands
26/12/2016,Boxing Day,Holidays in Cayman Islands
27/12/2016,Christmas/Boxing Day Holiday,Holidays in Cayman Islands
31/12/2016,New Year's Eve,Holidays in Cayman Islands
01/01/2017,New Year's Day,Holidays in Cayman Islands
02/01/2017,New Year's Day observed,Holidays in Cayman Islands
23/01/2017,National Heroes Day,Holidays in Cayman Islands
14/02/2017,Valentine's Day,Holidays in Cayman Islands
01/03/2017,Ash Wednesday,Holidays in Cayman Islands
14/04/2017,Good Friday,Holidays in Cayman Islands
16/04/2017,Easter Sunday,Holidays in Cayman Islands
17/04/2017,Easter Monday,Holidays in Cayman Islands
14/05/2017,Mothers' Day,Holidays in Cayman Islands
15/05/2017,Discovery Day,Holidays in Cayman Islands
18/06/2017,Fathers' Day,Holidays in Cayman Islands
19/06/2017,Queen's Birthday,Holidays in Cayman Islands
03/07/2017,Constitution Day,Holidays in Cayman Islands
31/10/2017,Halloween,Holidays in Cayman Islands
13/11/2017,Remembrance Day,Holidays in Cayman Islands
24/12/2017,Christmas Eve,Holidays in Cayman Islands
25/12/2017,Christmas Day,Holidays in Cayman Islands
26/12/2017,Boxing Day,Holidays in Cayman Islands
31/12/2017,New Year's Eve,Holidays in Cayman Islands
01/01/2018,New Year's Day,Holidays in Cayman Islands
22/01/2018,National Heroes Day,Holidays in Cayman Islands
14/02/2018,Ash Wednesday,Holidays in Cayman Islands
14/02/2018,Valentine's Day,Holidays in Cayman Islands
30/03/2018,Good Friday,Holidays in Cayman Islands
01/04/2018,Easter Sunday,Holidays in Cayman Islands
02/04/2018,Easter Monday,Holidays in Cayman Islands
13/05/2018,Mothers' Day,Holidays in Cayman Islands
21/05/2018,Discovery Day,Holidays in Cayman Islands
17/06/2018,Fathers' Day,Holidays in Cayman Islands
18/06/2018,Queen's Birthday,Holidays in Cayman Islands
02/07/2018,Constitution Day,Holidays in Cayman Islands
31/10/2018,Halloween,Holidays in Cayman Islands
12/11/2018,Remembrance Day,Holidays in Cayman Islands
24/12/2018,Christmas Eve,Holidays in Cayman Islands
25/12/2018,Christmas Day,Holidays in Cayman Islands
26/12/2018,Boxing Day,Holidays in Cayman Islands
01/01/2016,New Year's Day,Holidays in Kazakhstan
02/01/2016,New Year's (Day 2),Holidays in Kazakhstan
04/01/2016,New Year's (Day 2) observed,Holidays in Kazakhstan
07/01/2016,Orthodox Christmas Day,Holidays in Kazakhstan
08/03/2016,International Women's Day,Holidays in Kazakhstan
21/03/2016,Nauryz,Holidays in Kazakhstan
22/03/2016,Nauryz (Day 2),Holidays in Kazakhstan
23/03/2016,Nauryz (Day 3),Holidays in Kazakhstan
01/05/2016,Unity Day,Holidays in Kazakhstan
02/05/2016,Unity Day observed,Holidays in Kazakhstan
07/05/2016,Defender of the Fatherland Day,Holidays in Kazakhstan
09/05/2016,Defender of the Fatherland Day observed,Holidays in Kazakhstan
09/05/2016,Victory Day,Holidays in Kazakhstan
06/07/2016,Day of the Capital,Holidays in Kazakhstan
30/08/2016,Constitution Day,Holidays in Kazakhstan
13/09/2016,Kurban Bairam,Holidays in Kazakhstan
01/12/2016,Day of the First President of the Republic of Kazakhstan,Holidays in Kazakhstan
16/12/2016,Independence Day,Holidays in Kazakhstan
17/12/2016,Independence Day (Day 2),Holidays in Kazakhstan
19/12/2016,Independence Day (Day 2) observed,Holidays in Kazakhstan
31/12/2016,New Year's Eve,Holidays in Kazakhstan
01/01/2017,New Year's Day,Holidays in Kazakhstan
02/01/2017,New Year's Day observed,Holidays in Kazakhstan
02/01/2017,New Year's (Day 2),Holidays in Kazakhstan
07/01/2017,Orthodox Christmas Day,Holidays in Kazakhstan
09/01/2017,Orthodox Christmas Day observed,Holidays in Kazakhstan
08/03/2017,International Women's Day,Holidays in Kazakhstan
21/03/2017,Nauryz,Holidays in Kazakhstan
22/03/2017,Nauryz (Day 2),Holidays in Kazakhstan
23/03/2017,Nauryz (Day 3),Holidays in Kazakhstan
01/05/2017,Unity Day,Holidays in Kazakhstan
07/05/2017,Defender of the Fatherland Day,Holidays in Kazakhstan
08/05/2017,Defender of the Fatherland Day observed,Holidays in Kazakhstan
09/05/2017,Victory Day,Holidays in Kazakhstan
06/07/2017,Day of the Capital,Holidays in Kazakhstan
30/08/2017,Constitution Day,Holidays in Kazakhstan
02/09/2017,Kurban Bairam,Holidays in Kazakhstan
01/12/2017,Day of the First President of the Republic of Kazakhstan,Holidays in Kazakhstan
16/12/2017,Independence Day,Holidays in Kazakhstan
17/12/2017,Independence Day (Day 2),Holidays in Kazakhstan
18/12/2017,Independence Day observed,Holidays in Kazakhstan
18/12/2017,Independence Day (Day 2) observed,Holidays in Kazakhstan
31/12/2017,New Year's Eve,Holidays in Kazakhstan
01/01/2018,New Year's Day,Holidays in Kazakhstan
02/01/2018,New Year's (Day 2),Holidays in Kazakhstan
07/01/2018,Orthodox Christmas Day,Holidays in Kazakhstan
08/01/2018,Orthodox Christmas Day observed,Holidays in Kazakhstan
08/03/2018,International Women's Day,Holidays in Kazakhstan
21/03/2018,Nauryz,Holidays in Kazakhstan
22/03/2018,Nauryz (Day 2),Holidays in Kazakhstan
23/03/2018,Nauryz (Day 3),Holidays in Kazakhstan
01/05/2018,Unity Day,Holidays in Kazakhstan
07/05/2018,Defender of the Fatherland Day,Holidays in Kazakhstan
09/05/2018,Victory Day,Holidays in Kazakhstan
06/07/2018,Day of the Capital,Holidays in Kazakhstan
22/08/2018,Kurban Bairam,Holidays in Kazakhstan
30/08/2018,Constitution Day,Holidays in Kazakhstan
01/12/2018,Day of the First President of the Republic of Kazakhstan,Holidays in Kazakhstan
03/12/2018,Day of the First President of the Republic of Kazakhstan observed,Holidays in Kazakhstan
16/12/2018,Independence Day,Holidays in Kazakhstan
17/12/2018,Independence Day observed,Holidays in Kazakhstan
17/12/2018,Independence Day (Day 2),Holidays in Kazakhstan
01/01/2016,New Year's Day,Holidays in Latvia
14/02/2016,Valentine's Day,Holidays in Latvia
25/03/2016,Good Friday,Holidays in Latvia
26/03/2016,Holy Saturday,Holidays in Latvia
27/03/2016,Daylight Saving Time starts,Holidays in Latvia
27/03/2016,Easter Sunday,Holidays in Latvia
28/03/2016,Easter Monday,Holidays in Latvia
01/05/2016,Labour Day/May Day,Holidays in Latvia
04/05/2016,Independence Restoration Day,Holidays in Latvia
08/05/2016,Mothers' Day,Holidays in Latvia
15/05/2016,Whitsunday,Holidays in Latvia
23/06/2016,Midsummer Eve,Holidays in Latvia
24/06/2016,Midsummer Day,Holidays in Latvia
11/09/2016,Fathers' Day,Holidays in Latvia
30/10/2016,Daylight Saving Time ends,Holidays in Latvia
31/10/2016,Halloween,Holidays in Latvia
18/11/2016,Republic of Latvia Proclamation Day,Holidays in Latvia
24/12/2016,Christmas Eve,Holidays in Latvia
25/12/2016,Christmas Day,Holidays in Latvia
26/12/2016,Second Day of Christmas,Holidays in Latvia
31/12/2016,New Year's Eve,Holidays in Latvia
01/01/2017,New Year's Day,Holidays in Latvia
14/02/2017,Valentine's Day,Holidays in Latvia
26/03/2017,Daylight Saving Time starts,Holidays in Latvia
14/04/2017,Good Friday,Holidays in Latvia
15/04/2017,Holy Saturday,Holidays in Latvia
16/04/2017,Easter Sunday,Holidays in Latvia
17/04/2017,Easter Monday,Holidays in Latvia
01/05/2017,Labour Day/May Day,Holidays in Latvia
04/05/2017,Independence Restoration Day,Holidays in Latvia
14/05/2017,Mothers' Day,Holidays in Latvia
04/06/2017,Whitsunday,Holidays in Latvia
23/06/2017,Midsummer Eve,Holidays in Latvia
24/06/2017,Midsummer Day,Holidays in Latvia
10/09/2017,Fathers' Day,Holidays in Latvia
29/10/2017,Daylight Saving Time ends,Holidays in Latvia
31/10/2017,Halloween,Holidays in Latvia
18/11/2017,Republic of Latvia Proclamation Day,Holidays in Latvia
24/12/2017,Christmas Eve,Holidays in Latvia
25/12/2017,Christmas Day,Holidays in Latvia
26/12/2017,Second Day of Christmas,Holidays in Latvia
31/12/2017,New Year's Eve,Holidays in Latvia
01/01/2018,New Year's Day,Holidays in Latvia
14/02/2018,Valentine's Day,Holidays in Latvia
25/03/2018,Daylight Saving Time starts,Holidays in Latvia
30/03/2018,Good Friday,Holidays in Latvia
31/03/2018,Holy Saturday,Holidays in Latvia
01/04/2018,Easter Sunday,Holidays in Latvia
02/04/2018,Easter Monday,Holidays in Latvia
01/05/2018,Labour Day/May Day,Holidays in Latvia
04/05/2018,Independence Restoration Day,Holidays in Latvia
13/05/2018,Mothers' Day,Holidays in Latvia
20/05/2018,Whitsunday,Holidays in Latvia
23/06/2018,Midsummer Eve,Holidays in Latvia
24/06/2018,Midsummer Day,Holidays in Latvia
09/09/2018,Fathers' Day,Holidays in Latvia
28/10/2018,Daylight Saving Time ends,Holidays in Latvia
31/10/2018,Halloween,Holidays in Latvia
18/11/2018,Republic of Latvia Proclamation Day,Holidays in Latvia
24/12/2018,Christmas Eve,Holidays in Latvia
25/12/2018,Christmas Day,Holidays in Latvia
26/12/2018,Second Day of Christmas,Holidays in Latvia
01/01/2016,New Year,Holidays in Lebanon
09/02/2016,St Maron's Day,Holidays in Lebanon
09/03/2016,Teachers' Day,Holidays in Lebanon
21/03/2016,Mother's Day,Holidays in Lebanon
25/03/2016,Good Friday,Holidays in Lebanon
25/03/2016,Feast of the Annunciation,Holidays in Lebanon
27/03/2016,Daylight Saving Time starts,Holidays in Lebanon
28/03/2016,Easter Monday,Holidays in Lebanon
29/04/2016,Orthodox Good Friday,Holidays in Lebanon
01/05/2016,Worker's Day,Holidays in Lebanon
01/05/2016,Orthodox Easter Day,Holidays in Lebanon
05/05/2016,Ascension Day,Holidays in Lebanon
06/05/2016,Martyr's Day,Holidays in Lebanon
25/05/2016,Liberation and Resistance Day,Holidays in Lebanon
